"","spp","dbh","cr","logs","best_log","worst_log","butt_log","veneer_present","saw_present","quality_score","site","drate","price_factor","crop"
"5203","BM",7,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5204","PB",7,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5205","RM",7,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5206","SO",7,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5207","WO",7,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5208","YB",7,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5209","BC",10,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5210","BM",10,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5211","PB",10,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5212","RM",10,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5213","SO",10,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5214","WO",10,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5215","YB",10,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5216","BC",13,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5217","BM",13,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5218","PB",13,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5219","RM",13,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5220","SO",13,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5221","WO",13,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5222","YB",13,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5223","BC",16,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5224","BM",16,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5225","PB",16,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5226","RM",16,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5227","SO",16,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5228","WO",16,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5229","YB",16,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5230","BC",19,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5231","BM",19,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5232","PB",19,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5233","RM",19,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5234","SO",19,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5235","WO",19,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5236","YB",19,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5237","BC",22,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5238","BM",22,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5239","PB",22,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5240","RM",22,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5241","SO",22,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5242","WO",22,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5243","YB",22,60,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5244","BC",4,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5245","BM",4,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5246","PB",4,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5247","RM",4,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5248","SO",4,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5249","WO",4,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5250","YB",4,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5251","BC",7,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5252","BM",7,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5253","PB",7,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5254","RM",7,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5255","SO",7,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5256","WO",7,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5257","YB",7,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5258","BC",10,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5259","BM",10,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5260","PB",10,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5261","RM",10,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5262","SO",10,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5263","WO",10,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5264","YB",10,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5265","BC",13,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5266","BM",13,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5267","PB",13,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5268","RM",13,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5269","SO",13,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5270","WO",13,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5271","YB",13,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5272","BC",16,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5273","BM",16,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5274","PB",16,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5275","RM",16,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5276","SO",16,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5277","WO",16,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5278","YB",16,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5279","BC",19,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5280","BM",19,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5281","PB",19,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5282","RM",19,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5283","SO",19,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5284","WO",19,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5285","YB",19,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,TRUE
"5286","BC",22,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5287","BM",22,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5288","PB",22,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5289","RM",22,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5290","SO",22,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5291","WO",22,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5292","YB",22,70,"1225555555",1,2,1,TRUE,TRUE,7,"richnhw",0.03,1,FALSE
"5293","BC",4,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5294","BM",4,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5295","PB",4,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5296","RM",4,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5297","SO",4,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5298","WO",4,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5299","YB",4,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5300","BC",7,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5301","BM",7,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5302","PB",7,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5303","RM",7,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5304","SO",7,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5305","WO",7,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5306","YB",7,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5307","BC",10,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5308","BM",10,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5309","PB",10,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5310","RM",10,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5311","SO",10,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5312","WO",10,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5313","YB",10,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5314","BC",13,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5315","BM",13,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5316","PB",13,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5317","RM",13,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5318","SO",13,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5319","WO",13,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5320","YB",13,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5321","BC",16,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5322","BM",16,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5323","PB",16,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5324","RM",16,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5325","SO",16,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5326","WO",16,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5327","YB",16,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5328","BC",19,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5329","BM",19,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5330","PB",19,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5331","RM",19,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5332","SO",19,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5333","WO",19,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5334","YB",19,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5335","BC",22,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5336","BM",22,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5337","PB",22,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5338","RM",22,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5339","SO",22,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5340","WO",22,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5341","YB",22,20,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5342","BC",4,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5343","BM",4,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5344","PB",4,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5345","RM",4,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5346","SO",4,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5347","WO",4,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5348","YB",4,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5349","BC",7,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5350","BM",7,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5351","PB",7,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5352","RM",7,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5353","SO",7,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5354","WO",7,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5355","YB",7,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5356","BC",10,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5357","BM",10,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5358","PB",10,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5359","RM",10,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5360","SO",10,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5361","WO",10,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5362","YB",10,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5363","BC",13,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5364","BM",13,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5365","PB",13,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5366","RM",13,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5367","SO",13,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5368","WO",13,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5369","YB",13,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5370","BC",16,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5371","BM",16,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5372","PB",16,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5373","RM",16,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5374","SO",16,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5375","WO",16,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5376","YB",16,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5377","BC",19,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5378","BM",19,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5379","PB",19,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5380","RM",19,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5381","SO",19,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5382","WO",19,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5383","YB",19,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5384","BC",22,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5385","BM",22,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5386","PB",22,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5387","RM",22,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5388","SO",22,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5389","WO",22,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5390","YB",22,30,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5391","BC",4,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5392","BM",4,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5393","PB",4,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5394","RM",4,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5395","SO",4,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5396","WO",4,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5397","YB",4,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5398","BC",7,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5399","BM",7,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5400","PB",7,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5401","RM",7,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5402","SO",7,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5403","WO",7,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5404","YB",7,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5405","BC",10,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5406","BM",10,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5407","PB",10,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5408","RM",10,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5409","SO",10,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5410","WO",10,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5411","YB",10,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5412","BC",13,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5413","BM",13,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5414","PB",13,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5415","RM",13,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5416","SO",13,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5417","WO",13,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5418","YB",13,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5419","BC",16,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5420","BM",16,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5421","PB",16,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5422","RM",16,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5423","SO",16,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5424","WO",16,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5425","YB",16,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5426","BC",19,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5427","BM",19,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5428","PB",19,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5429","RM",19,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5430","SO",19,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5431","WO",19,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5432","YB",19,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5433","BC",22,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5434","BM",22,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5435","PB",22,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5436","RM",22,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5437","SO",22,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5438","WO",22,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5439","YB",22,40,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5440","BC",4,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5441","BM",4,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5442","PB",4,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5443","RM",4,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5444","SO",4,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5445","WO",4,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5446","YB",4,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5447","BC",7,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5448","BM",7,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5449","PB",7,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5450","RM",7,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5451","SO",7,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5452","WO",7,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5453","YB",7,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5454","BC",10,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5455","BM",10,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5456","PB",10,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5457","RM",10,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5458","SO",10,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5459","WO",10,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5460","YB",10,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5461","BC",13,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5462","BM",13,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5463","PB",13,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5464","RM",13,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5465","SO",13,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5466","WO",13,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5467","YB",13,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5468","BC",16,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
"5469","BM",16,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,TRUE
"5470","PB",16,50,"2155555555",1,5,2,TRUE,TRUE,5,"richnhw",0.03,1,FALSE
